Type,ColorType,ColorLetter,R,G,B
div,PuOr,I,216,218,235
div,PuOr,J,178,171,210
div,PuOr,K,153,142,195
div,PuOr,L,128,115,172
div,PuOr,M,94,60,153
div,PuOr,N,84,39,136
div,PuOr,O,45,0,75
div,RdBu,A,103,0,31
div,RdBu,B,178,24,43
div,RdBu,C,202,0,32
div,RdBu,D,214,96,77
div,RdBu,E,239,138,98
div,RdBu,F,244,165,130
div,RdBu,G,253,219,199
div,RdBu,H,247,247,247
div,RdBu,I,209,229,240
div,RdBu,J,146,197,222
div,RdBu,K,103,169,207
div,RdBu,L,67,147,195
div,RdBu,M,5,113,176
div,RdBu,N,33,102,172
div,RdBu,O,5,48,97
div,RdGy,A,103,0,31
div,RdGy,B,178,24,43
div,RdGy,C,202,0,32
div,RdGy,D,214,96,77
div,RdGy,E,239,138,98
div,RdGy,F,244,165,130
div,RdGy,G,253,219,199
div,RdGy,H,255,255,255
div,RdGy,I,224,224,224
div,RdGy,J,186,186,186
div,RdGy,K,153,153,153
div,RdGy,L,135,135,135
div,RdGy,M,64,64,64
div,RdGy,N,77,77,77
div,RdGy,O,26,26,26
div,RdYlBu,A,165,0,38
div,RdYlBu,B,215,48,39
div,RdYlBu,C,215,25,28
div,RdYlBu,D,244,109,67
div,RdYlBu,E,252,141,89
div,RdYlBu,F,253,174,97
div,RdYlBu,G,254,224,144
div,RdYlBu,H,255,255,191
div,RdYlBu,I,224,243,248
div,RdYlBu,J,171,217,233
div,RdYlBu,K,145,191,219
div,RdYlBu,L,116,173,209
div,RdYlBu,M,44,123,182
div,RdYlBu,N,69,117,180
div,RdYlBu,O,49,54,149
div,RdYlGn,A,165,0,38
div,RdYlGn,B,215,48,39
div,RdYlGn,C,215,25,28
div,RdYlGn,D,244,109,67
div,RdYlGn,E,252,141,89
div,RdYlGn,F,253,174,97
div,RdYlGn,G,254,224,139
div,RdYlGn,H,255,255,191
div,RdYlGn,I,217,239,139
div,RdYlGn,J,166,217,106
div,RdYlGn,K,145,207,96
div,RdYlGn,L,102,189,99
div,RdYlGn,M,26,150,65
div,RdYlGn,N,26,152,80
div,RdYlGn,O,0,104,55
div,Spectral,A,158,1,66
div,Spectral,B,213,62,79
div,Spectral,C,215,25,28
div,Spectral,D,244,109,67
div,Spectral,E,252,141,89
div,Spectral,F,253,174,97
div,Spectral,G,254,224,139
div,Spectral,H,255,255,191
div,Spectral,I,230,245,152
div,Spectral,J,171,221,164
div,Spectral,K,153,213,148
div,Spectral,L,102,194,165
div,Spectral,M,43,131,186
div,Spectral,N,50,136,189
div,Spectral,O,94,79,162
